City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,srednekolymsk,67.45,153.6833,-6.41,77,6,5.89,RU,1681093111
346,rafaela,-31.2503,-61.4867,19.99,54,0,0.45,AR,1681093111
347,palu,-0.8917,119.8707,29.85,67,62,1.87,ID,1681093112
348,eisiskes,54.1667,25.0,7.24,88,82,2.18,LT,1681093112
349,rodeo,38.033,-122.2669,20.53,54,49,2.68,US,1681092948
350,boa vista,2.8197,-60.6733,29.99,51,0,3.6,BR,1681093113
351,todos santos,23.45,-110.2167,20.37,77,100,1.82,MX,1681093113
352,komsomolskiy,40.4272,71.7189,13.4,76,40,4.12,UZ,1681093113
353,aberystwyth,52.4155,-4.0829,9.84,96,100,8.01,GB,1681093114
354,tolaga bay,-38.3667,178.3,23.46,53,0,3.51,NZ,1681093114
355,kaitangata,-46.2817,169.8464,14.2,96,100,5.05,NZ,1681093115
356,hambantota,6.1241,81.1185,27.27,75,2,4.9,LK,1681093115
357,aracati,-4.5617,-37.7697,25.07,86,49,2.57,BR,1681092875
358,uige,-7.6087,15.0613,19.46,98,100,0.57,AO,1681093115
359,nautla,20.2167,-96.7833,21.45,87,100,2.87,MX,1681093116
360,matara,5.9485,80.5353,26.1,77,1,3.2,LK,1681093116
361,chuy,-33.6971,-53.4616,17.47,90,0,2.71,UY,1681093116
362,zhangye,38.9342,100.4517,8.02,47,98,3.28,CN,1681093117
363,ayan,56.45,138.1667,-2.86,51,0,3.83,RU,1681093117
364,itaituba,-4.2761,-55.9836,23.03,98,74,0.07,BR,1681093117
